Q12,Q13,Q20,Q14,Q15,Q19,Q25,Q21,Q22,Q23,Q29
Q12-2,Q13-2,Q20-3,Q14-4,Q15-4,Q19-4,Q25-5,Q21-3,Q22-4,Q23-3,Q29-5
Q12-2,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-3,Q22-5,Q23-3,Q29-3
Q12-1,Q13-1,Q20-2,Q14-4,Q15-2,Q19-4,Q25-4,Q21-5,Q22-4,Q23-3,Q29-4
Q12-1,Q13-1,Q20-2,Q14-2,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-3
Q12-1,Q13-2,Q20-4,Q14-4,Q15-3,Q19-4,Q25-4,Q21-3,Q22-4,Q23-3,Q29-4
Q12-1,Q13-1,Q20-3,Q14-4,Q15-3,Q19-4,Q25-5,Q21-5,Q22-5,Q23-5,Q29-2
Q12-4,Q13-2,Q20-4,Q14-3,Q15-1,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-2,Q13-1,Q20-3,Q14-2,Q15-3,Q19-4,Q25-5,Q21-4,Q22-5,Q23-2,Q29-4
Q12-2,Q13-1,Q20-3,Q14-4,Q15-5,Q19-4,Q25-5,Q21-3,Q22-3,Q23-3,Q29-4
Q12-2,Q13-1,Q20-2,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-3
Q12-1,Q13-1,Q20-2,Q14-2,Q15-2,Q19-3,Q25-3,Q21-3,Q22-4,Q23-4,Q29-3
Q12-4,Q13-2,Q20-3,Q14-3,Q15-3,Q19-4,Q25-3,Q21-3,Q22-4,Q23-3,Q29-3
Q12-4,Q13-1,Q20-3,Q14-3,Q15-4,Q19-4,Q25-5,Q21-5,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-2,Q15-2,Q19-4,Q25-5,Q21-5,Q22-4,Q23-3,Q29-4
Q12-2,Q13-2,Q20-4,Q14-2,Q15-3,Q19-4,Q25-4,Q21-3,Q22-4,Q23-3,Q29-4
Q12-4,Q13-1,Q20-4,Q14-2,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-4
Q12-1,Q13-1,Q20-2,Q14-3,Q15-3,Q19-5,Q25-5,Q21-4,Q22-5,Q23-3,Q29-4
Q12-1,Q13-1,Q20-3,Q14-4,Q15-3,Q19-4,Q25-3,Q21-5,Q22-4,Q23-3,Q29-3
Q12-4,Q13-2,Q20-2,Q14-4,Q15-3,Q19-4,Q25-5,Q21-5,Q22-5,Q23-2,Q29-3
Q12-1,Q13-1,Q20-3,Q14-4,Q15-4,Q19-4,Q25-4,Q21-3,Q22-4,Q23-3,Q29-4
Q12-2,Q13-2,Q20-3,Q14-4,Q15-3,Q19-4,Q25-4,Q21-3,Q22-4,Q23-4,Q29-4
Q12-2,Q13-2,Q20-3,Q14-2,Q15-3,Q19-4,Q25-5,Q21-5,Q22-4,Q23-3,Q29-3
Q12-2,Q13-1,Q20-2,Q14-2,Q15-2,Q19-4,Q25-4,Q21-3,Q22-5,Q23-3,Q29-4
Q12-2,Q13-1,Q20-3,Q14-2,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-4
Q12-2,Q13-1,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-1,Q13-1,Q20-2,Q14-4,Q15-2,Q19-4,Q25-4,Q21-5,Q22-3,Q23-5,Q29-3
Q12-1,Q13-1,Q20-2,Q14-5,Q15-2,Q19-3,Q25-5,Q21-5,Q22-3,Q23-2,Q29-3
Q12-1,Q13-1,Q20-3,Q14-5,Q15-2,Q19-4,Q25-2,Q21-5,Q22-3,Q23-2,Q29-1
Q12-3,Q13-1,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-3,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-5,Q21-5,Q22-5,Q23-5,Q29-4
Q12-2,Q13-4,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-4
Q12-4,Q13-2,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-3,Q22-5,Q23-3,Q29-4
Q12-1,Q13-1,Q20-3,Q14-2,Q15-4,Q19-4,Q25-4,Q21-4,Q22-5,Q23-2,Q29-4
Q12-1,Q13-1,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-3,Q22-5,Q23-3,Q29-4
Q12-2,Q13-2,Q20-3,Q14-3,Q15-3,Q19-4,Q25-3,Q21-3,Q22-5,Q23-4,Q29-4
Q12-2,Q13-2,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-2,Q13-2,Q20-1,Q14-3,Q15-3,Q19-4,Q25-5,Q21-5,Q22-1,Q23-2,Q29-4
Q12-2,Q13-4,Q20-3,Q14-4,Q15-4,Q19-4,Q25-4,Q21-5,Q22-4,Q23-3,Q29-4
Q12-2,Q13-2,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-3,Q22-5,Q23-4,Q29-4
Q12-1,Q13-4,Q20-1,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-2,Q13-2,Q20-3,Q14-4,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-2,Q13-1,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-2,Q29-3
Q12-2,Q13-2,Q20-3,Q14-4,Q15-3,Q19-4,Q25-4,Q21-4,Q22-4,Q23-4,Q29-4
Q12-4,Q13-2,Q20-3,Q14-4,Q15-4,Q19-4,Q25-5,Q21-5,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-2,Q14-4,Q15-1,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-3
Q12-1,Q13-1,Q20-2,Q14-4,Q15-1,Q19-4,Q25-3,Q21-5,Q22-4,Q23-3,Q29-1
Q12-1,Q13-1,Q20-2,Q14-3,Q15-4,Q19-4,Q25-4,Q21-3,Q22-4,Q23-3,Q29-4
Q12-2,Q13-1,Q20-4,Q14-4,Q15-3,Q19-4,Q25-3,Q21-4,Q22-5,Q23-3,Q29-4
Q12-4,Q13-2,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-4
Q12-4,Q13-2,Q20-3,Q14-2,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-1
Q12-4,Q13-2,Q20-4,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-4,Q14-4,Q15-3,Q19-4,Q25-3,Q21-5,Q22-4,Q23-2,Q29-3
Q12-1,Q13-1,Q20-4,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-1,Q13-1,Q20-1,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-3
Q12-4,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-5,Q21-3,Q22-5,Q23-4,Q29-5
Q12-4,Q13-2,Q20-4,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-5
Q12-2,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-2,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-4,Q13-2,Q20-3,Q14-3,Q15-5,Q19-4,Q25-3,Q21-5,Q22-3,Q23-4,Q29-4
Q12-4,Q13-2,Q20-3,Q14-4,Q15-3,Q19-4,Q25-5,Q21-3,Q22-5,Q23-5,Q29-3
Q12-2,Q13-1,Q20-2,Q14-3,Q15-4,Q19-4,Q25-4,Q21-3,Q22-4,Q23-3,Q29-4
Q12-1,Q13-1,Q20-4,Q14-4,Q15-4,Q19-4,Q25-4,Q21-5,Q22-4,Q23-2,Q29-3
Q12-1,Q13-2,Q20-3,Q14-2,Q15-4,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-2,Q13-2,Q20-1,Q14-3,Q15-4,Q19-4,Q25-3,Q21-3,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-1,Q14-4,Q15-3,Q19-4,Q25-3,Q21-5,Q22-4,Q23-3,Q29-3
Q12-4,Q13-1,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-4,Q13-4,Q20-3,Q14-2,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-3
Q12-2,Q13-1,Q20-3,Q14-4,Q15-2,Q19-4,Q25-3,Q21-3,Q22-4,Q23-2,Q29-3
Q12-1,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-3,Q22-5,Q23-3,Q29-3
Q12-5,Q13-1,Q20-3,Q14-4,Q15-4,Q19-4,Q25-4,Q21-4,Q22-4,Q23-4,Q29-4
Q12-4,Q13-1,Q20-1,Q14-4,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-2
Q12-1,Q13-2,Q20-2,Q14-3,Q15-2,Q19-4,Q25-3,Q21-5,Q22-4,Q23-4,Q29-3
Q12-2,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-5
Q12-1,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-3,Q21-3,Q22-4,Q23-4,Q29-4
Q12-2,Q13-1,Q20-1,Q14-2,Q15-2,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-4
Q12-2,Q13-2,Q20-3,Q14-3,Q15-5,Q19-4,Q25-4,Q21-5,Q22-3,Q23-4,Q29-4
Q12-2,Q13-2,Q20-2,Q14-4,Q15-3,Q19-4,Q25-3,Q21-4,Q22-3,Q23-3,Q29-2
Q12-4,Q13-2,Q20-1,Q14-4,Q15-4,Q19-4,Q25-5,Q21-3,Q22-5,Q23-3,Q29-4
Q12-2,Q13-1,Q20-1,Q14-4,Q15-3,Q19-4,Q25-4,Q21-5,Q22-4,Q23-3,Q29-4
Q12-4,Q13-2,Q20-4,Q14-2,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-4,Q13-2,Q20-5,Q14-1,Q15-4,Q19-4,Q25-4,Q21-3,Q22-3,Q23-3,Q29-4
Q12-4,Q13-4,Q20-2,Q14-2,Q15-4,Q19-4,Q25-4,Q21-3,Q22-4,Q23-3,Q29-4
Q12-2,Q13-2,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-5
Q12-1,Q13-2,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-3,Q23-4,Q29-4
Q12-1,Q13-2,Q20-2,Q14-4,Q15-3,Q19-4,Q25-3,Q21-5,Q22-4,Q23-2,Q29-3
Q12-1,Q13-2,Q20-2,Q14-4,Q15-3,Q19-3,Q25-4,Q21-4,Q22-4,Q23-2,Q29-2
Q12-2,Q13-2,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-3,Q22-5,Q23-4,Q29-4
Q12-3,Q13-1,Q20-3,Q14-4,Q15-2,Q19-4,Q25-3,Q21-5,Q22-4,Q23-4,Q29-4
Q12-2,Q13-2,Q20-2,Q14-4,Q15-3,Q19-3,Q25-3,Q21-3,Q22-4,Q23-5,Q29-5
Q12-4,Q13-2,Q20-3,Q14-3,Q15-3,Q19-4,Q25-5,Q21-3,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-2
Q12-4,Q13-2,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-3,Q22-5,Q23-5,Q29-4
Q12-1,Q13-1,Q20-3,Q14-4,Q15-3,Q19-4,Q25-3,Q21-3,Q22-5,Q23-3,Q29-4
Q12-1,Q13-2,Q20-2,Q14-3,Q15-3,Q19-4,Q25-2,Q21-4,Q22-4,Q23-3,Q29-1
Q12-1,Q13-2,Q20-1,Q14-2,Q15-3,Q19-4,Q25-4,Q21-4,Q22-3,Q23-2,Q29-1
Q12-3,Q13-3,Q20-3,Q14-4,Q15-4,Q19-4,Q25-2,Q21-4,Q22-3,Q23-4,Q29-4
Q12-1,Q13-1,Q20-2,Q14-1,Q15-4,Q19-4,Q25-5,Q21-5,Q22-5,Q23-2,Q29-4
Q12-1,Q13-1,Q20-2,Q14-4,Q15-3,Q19-3,Q25-3,Q21-3,Q22-4,Q23-4,Q29-4
Q12-1,Q13-1,Q20-2,Q14-4,Q15-3,Q19-4,Q25-3,Q21-3,Q22-4,Q23-4,Q29-4
Q12-1,Q13-2,Q20-3,Q14-4,Q15-3,Q19-4,Q25-3,Q21-5,Q22-5,Q23-4,Q29-4
Q12-4,Q13-2,Q20-2,Q14-4,Q15-2,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-3
Q12-1,Q13-1,Q20-3,Q14-4,Q15-4,Q19-4,Q25-3,Q21-5,Q22-4,Q23-4,Q29-5
Q12-1,Q13-1,Q20-1,Q14-5,Q15-1,Q19-3,Q25-4,Q21-3,Q22-4,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-4,Q15-3,Q19-4,Q25-4,Q21-5,Q22-4,Q23-4,Q29-4
Q12-4,Q13-2,Q20-3,Q14-3,Q15-4,Q19-4,Q25-3,Q21-3,Q22-3,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-3,Q21-3,Q22-4,Q23-4,Q29-4
Q12-2,Q13-1,Q20-3,Q14-4,Q15-4,Q19-5,Q25-4,Q21-5,Q22-5,Q23-5,Q29-5
Q12-1,Q13-2,Q20-3,Q14-3,Q15-3,Q19-4,Q25-3,Q21-3,Q22-4,Q23-5,Q29-4
Q12-4,Q13-4,Q20-3,Q14-3,Q15-3,Q19-5,Q25-5,Q21-5,Q22-5,Q23-5,Q29-5
Q12-1,Q13-1,Q20-2,Q14-3,Q15-3,Q19-4,Q25-3,Q21-3,Q22-5,Q23-5,Q29-3
Q12-4,Q13-2,Q20-4,Q14-3,Q15-4,Q19-4,Q25-3,Q21-3,Q22-5,Q23-4,Q29-4
Q12-1,Q13-2,Q20-3,Q14-2,Q15-5,Q19-4,Q25-5,Q21-4,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-4,Q13-2,Q20-3,Q14-4,Q15-4,Q19-4,Q25-5,Q21-4,Q22-5,Q23-4,Q29-5
Q12-2,Q13-1,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-3,Q22-4,Q23-5,Q29-4
Q12-4,Q13-4,Q20-5,Q14-2,Q15-5,Q19-4,Q25-5,Q21-3,Q22-5,Q23-5,Q29-5
Q12-2,Q13-3,Q20-3,Q14-3,Q15-4,Q19-4,Q25-4,Q21-5,Q22-4,Q23-3,Q29-4
Q12-4,Q13-2,Q20-3,Q14-3,Q15-3,Q19-4,Q25-4,Q21-3,Q22-3,Q23-4,Q29-3
Q12-1,Q13-1,Q20-2,Q14-2,Q15-1,Q19-3,Q25-2,Q21-2,Q22-1,Q23-2,Q29-3
Q12-4,Q13-1,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-2,Q13-1,Q20-3,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-4
Q12-4,Q13-1,Q20-2,Q14-2,Q15-3,Q19-4,Q25-5,Q21-4,Q22-4,Q23-3,Q29-3
Q12-2,Q13-5,Q20-4,Q14-3,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-3,Q14-3,Q15-3,Q19-4,Q25-3,Q21-2,Q22-5,Q23-5,Q29-5
Q12-1,Q13-1,Q20-2,Q14-2,Q15-3,Q19-4,Q25-4,Q21-5,Q22-3,Q23-2,Q29-3
Q12-2,Q13-1,Q20-3,Q14-5,Q15-3,Q19-4,Q25-2,Q21-5,Q22-5,Q23-3,Q29-4
Q12-2,Q13-1,Q20-3,Q14-4,Q15-3,Q19-4,Q25-4,Q21-5,Q22-5,Q23-3,Q29-3
Q12-4,Q13-5,Q20-4,Q14-3,Q15-5,Q19-4,Q25-5,Q21-5,Q22-5,Q23-4,Q29-5
Q12-1,Q13-1,Q20-1,Q14-4,Q15-3,Q19-4,Q25-3,Q21-5,Q22-5,Q23-3,Q29-3
Q12-1,Q13-1,Q20-3,Q14-4,Q15-3,Q19-4,Q25-4,Q21-3,Q22-5,Q23-2,Q29-3
Q12-1,Q13-1,Q20-3,Q14-3,Q15-1,Q19-4,Q25-2,Q21-3,Q22-4,Q23-2,Q29-3
Q12-1,Q13-1,Q20-1,Q14-4,Q15-3,Q19-4,Q25-4,Q21-5,Q22-4,Q23-3,Q29-4
Q12-4,Q13-1,Q20-4,Q14-4,Q15-3,Q19-4,Q25-3,Q21-5,Q22-5,Q23-4,Q29-4
Q12-1,Q13-1,Q20-2,Q14-4,Q15-3,Q19-3,Q25-5,Q21-4,Q22-3,Q23-3,Q29-3
